,Position,Country,Games Played,Win,Draw,Loss,Goals For,Goals Against,Goal Difference,Points
count,30.0,30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
unique,,30,,,,,,,9.041472557505166,
top,,France,,,,,,,9.041472557505166,
freq,,1,,,,,,,9.041472557505166,
mean,17.066666666666666,,3.9,1.4666666666666666,0.8,1.6333333333333333,4.9,5.233333333333333,5.2,5.2
std,9.328980922773464,,1.2689936278745484,1.4076964145021817,0.8866830868758714,0.8087168778415268,3.679861316727145,2.269487764374084,4.381780460041328,4.381780460041328
min,1.0,,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
25%,9.25,,3.0,1.0,0.0,1.0,2.0,4.0,3.0,3.0
50%,17.5,,3.0,1.0,1.0,2.0,3.0,5.0,4.0,4.0
75%,24.75,,4.0,2.0,1.0,2.0,6.0,6.75,6.75,6.75
max,32.0,,7.0,6.0,3.0,3.0,14.0,11.0,19.0,19.0
